Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
Uganda,2020,37889.0,44457152.0,852.2588221575687,173.0,Africa
Ukraine,2020,156566.0,44680014.0,3504.161838445261,124.0,Europe
United Arab Emirates,2020,349473.0,9401038.0,37173.873778618916,26.0,Asia
United Kingdom,2020,2698705.0,66744000.0,40433.671940548964,22.0,Europe
United States,2020,21354125.0,331577720.0,64401.56775310476,5.0,North America
Uruguay,2020,53557.0,3398968.0,15756.841488357642,53.0,South America
Uzbekistan,2020,66443.0,33586372.0,1978.2726160479613,149.0,Asia
Vanuatu,2020,1008.0,298858.0,3372.839274839556,126.0,Oceania
Venezuela,2020,42838.0,28444077.0,1506.0428925150218,159.0,South America
Vietnam,2020,346310.0,98079191.0,3530.9222727989263,123.0,Asia
Palestine,2020,15532.0,4803269.0,3233.6310958224494,131.0,Asia
Yemen,2020,20220.0,36134863.0,559.5704071162522,187.0,Asia
Zambia,2020,18138.0,19059395.0,951.6566501717394,169.0,Africa
Zimbabwe,2020,26878.0,15526888.0,1731.06162677286,155.0,Africa
Afghanistan,2021,14278.0,40000412.0,356.94632345286846,192.0,Asia
Albania,2021,18086.0,2811666.0,6432.485224062886,93.0,Europe
Algeria,2021,185850.0,44761099.0,4152.042826294323,118.0,Africa
Andorra,2021,3325.0,78364.0,42430.19753968659,26.0,Europe
Angola,2021,84375.0,34532429.0,2443.3554905738024,143.0,Africa
Antigua and Barbuda,2021,1602.0,92349.0,17347.237111392653,56.0,North America
Argentina,2021,486040.0,45312281.0,10726.451842051385,68.0,South America
Armenia,2021,13879.0,2962300.0,4685.2108159200625,111.0,Asia
Aruba,2021,2929.0,107700.0,27195.914577530177,40.0,North America
Australia,2021,1655843.0,25685412.0,64466.28148304571,10.0,Oceania
Austria,2021,480786.0,8955797.0,53684.3342920792,14.0,Europe
Azerbaijan,2021,54825.0,10137750.0,5408.0047347784275,100.0,Asia
Bahamas,2021,11369.0,396373.0,28682.57928769114,36.0,North America
Bahrain,2021,40840.0,1504365.0,27147.666955825214,41.0,Asia
Bangladesh,2021,416265.0,167658854.0,2482.809527017285,140.0,Asia
Barbados,2021,5275.0,282147.0,18695.928009158346,50.0,North America
Belarus,2021,68207.0,9302585.0,7332.048027510633,87.0,Europe
Belgium,2021,598892.0,11586195.0,51690.13640802696,19.0,Europe
Belize,2021,2421.0,395346.0,6123.749829263481,96.0,North America
Benin,2021,17699.0,13413417.0,1319.4997218083952,163.0,Africa
Bhutan,2021,2623.0,775442.0,3382.586963306089,132.0,Asia
Bolivia,2021,40701.0,11937360.0,3409.547839723356,131.0,South America
Bosnia and Herzegovina,2021,23673.0,3244907.0,7295.43250392076,88.0,Europe
Botswana,2021,18750.0,2401441.0,7807.81205950927,85.0,Africa
Brazil,2021,1670650.0,209550294.0,7972.549062613102,84.0,South America
Brunei,2021,14006.0,451721.0,31005.8642392096,33.0,Asia
Bulgaria,2021,84477.0,6507301.0,12981.879891524919,63.0,Europe
Burkina Faso,2021,19747.0,21995243.0,897.7850347004577,173.0,Africa
Burundi,2021,3356.0,12965481.0,258.84114904799907,193.0,Africa
Cape Verde,2021,2053.0,516649.0,3973.6842614618436,121.0,Africa
Cambodia,2021,36797.0,16974305.0,2167.805986754686,150.0,Asia
Cameroon,2021,45036.0,26915758.0,1673.2205721273017,158.0,Africa
Canada,2021,2022382.0,38239864.0,52886.74666834589,16.0,North America
Central African Republic,2021,2585.0,5112100.0,505.6630347606659,190.0,Africa
Chad,2021,16881.0,17828273.0,946.8668109356414,170.0,Africa
Chile,2021,315411.0,19456334.0,16211.224581156965,57.0,South America
